message_id,channel,message
209,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
210,whatsapp,Your prices increasing every week???? What’s going on??
211,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
212,whatsapp,Could you add more colors of the slim tshirt?? Only black is boring (no offense lol). Pls respond asap.
213,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
214,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
215,in-app,My t-shirt arrived but the material feels cheap… kinda itchy. Pls respond asap.
216,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
217,email,Your prices increasing every week?? What’s going on?
218,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
219,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
220,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
221,chat,Your prices increasing every week???? What’s going on??
222,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy. Pls respond asap.
223,email,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
224,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
225,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
226,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
227,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
228,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
229,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
230,chat,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
231,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
232,chat,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
233,chat,"I want to change the size of the sneakers I bought yesterday, can u help?"
234,chat,Your prices increasing every week?? What’s going on?
235,whatsapp,Your prices increasing every week???? What’s going on??
236,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging?? Not sure if mine is defective."
237,email,Your prices increasing every week?? What’s going on?
238,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
239,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
240,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
241,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
242,email,The cook set is good but the lids don’t fit perfectly. Just FYI.
243,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
244,whatsapp,Your prices increasing every week???? What’s going on??
245,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
246,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
247,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
248,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
249,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
250,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
251,chat,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
252,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
253,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
254,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
255,chat,Refund me. The blender stopped working after 3 uses.
256,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
257,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
258,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy. Pls respond asap.
259,in-app,"I want to change the size of the sneakers I bought yesterday, can u help?"
260,email,Your prices increasing every week?? What’s going on?
261,email,My t-shirt arrived but the material feels cheap… kinda itchy.
262,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
263,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging?? Not sure if mine is defective."
264,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
265,whatsapp,Your prices increasing every week???? What’s going on??
266,in-app,"I want to change the size of the sneakers I bought yesterday, can u help?"
267,email,That coffee press is amazing but I wish it came in 1.5L too.
268,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
269,email,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
270,email,Your prices increasing every week???? What’s going on?? Pls respond asap.
271,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
272,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
273,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
274,in-app,Where’s my order???? It said delivery 2 days ago. This is ridiculous.
275,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
276,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
277,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
278,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
279,chat,Refund me. The blender stopped working after 3 uses. Pls respond asap.
280,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
281,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
282,in-app,Refund me. The blender stopped working after 3 uses.
283,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
284,in-app,Your prices increasing every week?? What’s going on?
285,email,Refund me. The blender stopped working after 3 uses.
286,chat,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
287,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear. Pls respond asap.
288,chat,That coffee press is amazing but I wish it came in 1.5L too.
289,email,That coffee press is amazing but I wish it came in 1.5L too.
290,in-app,That coffee press is amazing but I wish it came in 1.5L too.
291,in-app,"I want to change the size of the sneakers I bought yesterday, can u help?"
292,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
293,in-app,That coffee press is amazing but I wish it came in 1.5L too.
294,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
295,in-app,Refund me. The blender stopped working after 3 uses. Pls respond asap.
296,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
297,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
298,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
299,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
300,in-app,How do I pair the earbuds with Samsung S22?? The manual isn’t clear.
301,chat,"I want to change the size of the sneakers I bought yesterday, can u help?"
302,in-app,That coffee press is amazing but I wish it came in 1.5L too.
303,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
304,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
305,chat,Refund me. The blender stopped working after 3 uses.
306,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
307,chat,Refund me. The blender stopped working after 3 uses.
308,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
309,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
310,in-app,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
311,whatsapp,Where’s my order???? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
312,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging?? Not sure if mine is defective. Pls respond asap."
313,email,"I want to change the size of the sneakers I bought yesterday, can u help??"
314,email,Refund me. The blender stopped working after 3 uses.
315,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
316,chat,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
317,chat,Refund me. The blender stopped working after 3 uses. Pls respond asap.
318,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
319,whatsapp,Your prices increasing every week?? What’s going on?
320,chat,That coffee press is amazing but I wish it came in 1.5L too.
321,email,Your prices increasing every week???? What’s going on??
322,email,Refund me. The blender stopped working after 3 uses.
323,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help? Pls respond asap."
324,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
325,whatsapp,Your prices increasing every week?? What’s going on?
326,email,My t-shirt arrived but the material feels cheap… kinda itchy.
327,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
328,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
329,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
330,in-app,"I want to change the size of the sneakers I bought yesterday, can u help??"
331,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
332,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
333,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
334,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
335,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
336,whatsapp,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
337,chat,"I want to change the size of the sneakers I bought yesterday, can u help?"
338,email,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
339,in-app,"I want to change the size of the sneakers I bought yesterday, can u help?"
340,chat,That coffee press is amazing but I wish it came in 1.5L too.
341,chat,That coffee press is amazing but I wish it came in 1.5L too.
342,chat,That coffee press is amazing but I wish it came in 1.5L too.
343,chat,Refund me. The blender stopped working after 3 uses.
344,chat,Refund me. The blender stopped working after 3 uses.
345,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
346,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
347,whatsapp,That coffee press is amazing but I wish it came in 1.5L too.
348,in-app,Your prices increasing every week???? What’s going on??
349,in-app,That coffee press is amazing but I wish it came in 1.5L too.
350,in-app,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
351,email,The cook set is good but the lids don’t fit perfectly. Just FYI. Pls respond asap.
352,chat,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
353,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective. Pls respond asap."
354,email,Refund me. The blender stopped working after 3 uses. Pls respond asap.
355,whatsapp,How do I pair the earbuds with Samsung S22? The manual isn’t clear. Pls respond asap.
356,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
357,email,"I want to change the size of the sneakers I bought yesterday, can u help?"
358,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous. Pls respond asap.
359,in-app,Refund me. The blender stopped working after 3 uses.
360,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
361,chat,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
362,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
363,whatsapp,Refund me. The blender stopped working after 3 uses.
364,chat,Your prices increasing every week?? What’s going on?
365,email,The cook set is good but the lids don’t fit perfectly. Just FYI.
366,in-app,That coffee press is amazing but I wish it came in 1.5L too.
367,chat,The cook set is good but the lids don’t fit perfectly. Just FYI.
368,in-app,Your prices increasing every week?? What’s going on?
369,whatsapp,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
370,chat,How do I pair the earbuds with Samsung S22? The manual isn’t clear.
371,email,Refund me. The blender stopped working after 3 uses.
372,email,My t-shirt arrived but the material feels cheap… kinda itchy.
373,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
374,email,The cook set is good but the lids don’t fit perfectly. Just FYI.
375,email,That coffee press is amazing but I wish it came in 1.5L too.
376,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
377,chat,Refund me. The blender stopped working after 3 uses.
378,in-app,That coffee press is amazing but I wish it came in 1.5L too.
379,in-app,That coffee press is amazing but I wish it came in 1.5L too.
380,chat,Refund me. The blender stopped working after 3 uses.
381,whatsapp,My t-shirt arrived but the material feels cheap… kinda itchy.
382,chat,Your prices increasing every week???? What’s going on??
383,email,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
384,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
385,in-app,Where’s my order?? It said delivery 2 days ago. This is ridiculous.
386,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
387,in-app,Could you add more colors of the slim tshirt? Only black is boring (no offense lol).
388,in-app,My t-shirt arrived but the material feels cheap… kinda itchy.
389,in-app,"I want to change the size of the sneakers I bought yesterday, can u help?"
390,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
391,whatsapp,Your prices increasing every week?? What’s going on?
392,whatsapp,The cook set is good but the lids don’t fit perfectly. Just FYI.
393,email,Your prices increasing every week?? What’s going on?
394,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
395,whatsapp,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
396,whatsapp,"I want to change the size of the sneakers I bought yesterday, can u help?"
397,chat,That coffee press is amazing but I wish it came in 1.5L too.
398,in-app,Refund me. The blender stopped working after 3 uses.
399,chat,My t-shirt arrived but the material feels cheap… kinda itchy.
400,in-app,The cook set is good but the lids don’t fit perfectly. Just FYI.
401,email,"Hey, just wondering… is the ‘EarBud Pro’ supposed to buzz while charging? Not sure if mine is defective."
402,whatsapp,Your prices increasing every week?? What’s going on?
